model_family,max_depth,max_features,min_samples_leaf,n_estimators,roc_auc_mean,roc_auc_std,brier_mean,brier_std,logloss_mean,logloss_std,fold_roc_auc,fold_brier,fold_logloss
random_forest,6.0,sqrt,5,600,0.5852978654288595,0.0050702273283568244,0.24442995001575105,0.0009252669217802135,0.6818983107802381,0.0019200694887884118,"[0.5831812498300175, 0.5800187033071101, 0.5933815955831743, 0.5865184776340088, 0.5833893007899872]","[0.2443791689112704, 0.2454120130652254, 0.24315742724143224, 0.2439761058239354, 0.24522503503689191]","[0.6817918338746344, 0.6839483059608291, 0.6792576199325213, 0.6809591515863285, 0.6835346425468769]"
random_forest,6.0,sqrt,1,600,0.5852842392706927,0.005039507393968513,0.24444150847331625,0.0009706079954374994,0.6819247369193746,0.0020241856646487436,"[0.5837419306248174, 0.5801721234250902, 0.5934234374335325, 0.5862337849921622, 0.5828499198778614]","[0.244302536938705, 0.24548303909882543, 0.24312073335775047, 0.24400551139173882, 0.24529572157956153]","[0.6816283536660658, 0.6841149643861418, 0.6791745630646402, 0.6810160650685517, 0.6836897384114736]"
random_forest,6.0,sqrt,5,300,0.5851427877837498,0.004513594591774452,0.24442998719528325,0.000881901589435547,0.6818958833314734,0.0018354980188315332,"[0.583417307602455, 0.5799740720000615, 0.5916873493257535, 0.587427679870102, 0.583207530120377]","[0.2443531513520143, 0.24540261708854683, 0.24332167337125768, 0.24386239727039274, 0.2452100968942049]","[0.6817361167318154, 0.683936230992899, 0.679584114797376, 0.6807239553760428, 0.683498998759234]"
random_forest,6.0,sqrt,1,300,0.5848874806182138,0.004904469592823317,0.24447542606785105,0.0009526152505569356,0.6819971512867611,0.0019927689950289956,"[0.5833531500985725, 0.5794057201993625, 0.5922427998892585, 0.5869148144491285, 0.5825209184547468]","[0.24434749075585283, 0.2455534786839673, 0.24325530925607736, 0.24392991003429285, 0.24529094160906506]","[0.6817198416951701, 0.6842719384701003, 0.6794467880479079, 0.6808636718054254, 0.6836835164152016]"
random_forest,10.0,sqrt,5,600,0.5818138212943378,0.004411027746581892,0.24515226452546326,0.0008231215639587017,0.6834171759524195,0.001725535958417781,"[0.5775713037432417, 0.5773052593113808, 0.585573906306334, 0.5868499212734135, 0.581768715837319]","[0.24538772655638652, 0.24596585855341185, 0.24426737622890865, 0.24429679975450205, 0.24584356153410725]","[0.6838643370700985, 0.6850809260604935, 0.6815232474095584, 0.681675991464652, 0.6849413777572946]"
random_forest,10.0,sqrt,5,300,0.5814769281637748,0.004330121865449274,0.24520284738331033,0.0008208515840589307,0.6835303782113985,0.0017189008309076474,"[0.57727597001613, 0.577284687068288, 0.5865383609570904, 0.585217474127335, 0.5810681486500301]","[0.24544397183323036, 0.24603248078310103, 0.24421485786610883, 0.2444653281262589, 0.24585759830785262]","[0.6839903741808541, 0.6852325498778227, 0.6814593039936349, 0.6819988977603467, 0.6849707652443339]"
random_forest,10.0,sqrt,1,600,0.5803190589212763,0.0050182745523458935,0.24546943655577186,0.0008937227993055797,0.6840942642440705,0.0018733642943084404,"[0.5776769544153961, 0.5732664747055554, 0.5823043143829268, 0.5864490489137545, 0.5818985021887491]","[0.245480574036285, 0.24664166573170523, 0.24476034417997683, 0.2444559501256421, 0.24600864870525016]","[0.6840584754999381, 0.6865476671462214, 0.6825546100536077, 0.6820333153019359, 0.6852772532186492]"
random_forest,10.0,sqrt,1,300,0.5798756555852931,0.004498181280187406,0.24552499010756845,0.0008486832702922815,0.6842029902825327,0.001770412561708762,"[0.5775985009459745, 0.5738770170386988, 0.5814897930292873, 0.5859424634775275, 0.5804705034349773]","[0.24549997535506646, 0.24656770534409572, 0.2449125863947979, 0.24450502864638277, 0.24613965479749944]","[0.6840848373535671, 0.686377701825021, 0.6828783825875162, 0.6821382431305967, 0.6855357865159626]"
random_forest,,sqrt,5,600,0.5634391573689305,0.010397017690050086,0.2515103565273831,0.002057751884383053,0.69732127663404,0.004214897005352401,"[0.5606347687645008, 0.554722515308887, 0.5558731661937375, 0.5803700236790315, 0.5655953128984956]","[0.2521759071200448, 0.2530491510601934, 0.252888241081429, 0.24801457537387808, 0.25142390800137027]","[0.6987112304661522, 0.7002680074774796, 0.7001926671925106, 0.6900962464241825, 0.6973382316098748]"
random_forest,,sqrt,5,300,0.5631278441987999,0.01135831285612753,0.2516730195475864,0.002305208555188859,0.6977005214610056,0.004749785868611173,"[0.5611121145406707, 0.5533368526978579, 0.5541266176233689, 0.5812328238056079, 0.5658308123264937]","[0.25229150099352665, 0.2536084627919061, 0.2532414891705317, 0.2478553597973267, 0.251368284984641]","[0.6990305271424485, 0.7015191974045478, 0.7009478674768744, 0.6897542569888476, 0.6972507582923092]"
random_forest,,sqrt,1,600,0.5517842849311576,0.011157799733905181,0.2596696847585436,0.002896731073388266,0.7166990044678774,0.0061010395809563,"[0.551173629034339, 0.5460028480352811, 0.5391055676858179, 0.5691168143451598, 0.5535225655551907]","[0.2604706344519896, 0.2611534470032477, 0.2627046230685956, 0.25509140414779813, 0.2589283151210869]","[0.7187374576298617, 0.7194872028563128, 0.7232003644799392, 0.7071278392747103, 0.7149421580985624]"
random_forest,,sqrt,1,300,0.5509675604339778,0.012114546635958984,0.26017265705756143,0.0031558874789283185,0.7179459343937716,0.006627582534470866,"[0.5476915153793208, 0.5442090530422163, 0.5391711199180457, 0.5706348262136333, 0.5531312876166725]","[0.2616443493094512, 0.26194602565364306, 0.2628256405209461, 0.2549768589617379, 0.25947041084202926]","[0.7214742461382189, 0.7212198426467543, 0.7235895752835736, 0.7070737280449888, 0.7163722798553223]"
